Название,Издатель,Продажи (млн),Дата выхода,Жанр,Цена
Mouthwashing,CRITICAL REFLEX,0.50m,26th Sep 24,"Adventure, Indie",$12.12
The Witness,"Thekla, Inc.",0.49m,26th Jan 16,"Adventure, Indie",$5.83
The Escapists 2,Team17 Software,0.49m,22nd Aug 17,"Indie, Simulation, Strategy",$2.76
Styx: Master of Shadows,Focus Home Interactive,0.49m,07th Oct 14,Action,$1.29
The Swapper,Facepalm Games,0.48m,30th May 13,"Action, Adventure, Indie",$2.60
X3: Terran Conflict,Atari,0.48m,31st Mar 09,"Action, Simulation, Strategy",$2.64
Galactic Civilizations III,Stardock,0.48m,14th May 15,Strategy,$3.27
Victor Vran ARPG,EuroVideo Medien,0.45m,01st Jul 15,"Action, Adventure, Indie + 1",$4.01
Frozen Synapse,Mode 7,0.45m,26th May 11,"Indie, Strategy",$1.82
BlazBlue: Cross Tag Battle,Arc System Works,0.45m,05th Jun 18,Action,$8.59
A Story About My Uncle,Coffee Stain Studios,0.43m,28th May 14,"Adventure, Casual, Indie",$0.55
Evoland,Shiro Games,0.43m,04th Apr 13,"Adventure, Indie, RPG",$2.98
Murder Miners,JForce Games,0.42m,25th Jul 14,"Action, Casual, Indie",$0.57
Broken Age,Double Fine Productions,0.42m,01st Jul 13,"Adventure, Casual, Indie",$0.94
Construction Simulator 2015,Unknown,0.42m,14th Nov 14,"Casual, Simulation",$1.73
Osmos,Hemisphere Games,0.41m,08th Aug 09,"Casual, Indie",$4.21
Fate/Samurai Remnant,Koei Tecmo,0.41m,28th Sep 23,"Action, RPG",$26.00
Shadow Tactics: Blades of the Shogun,Daedalic Entertainment,0.41m,06th Dec 16,"Indie, Strategy",$3.17
M1 Tank Platoon,Microprose,0.40m,01st Jan 89,"Action, Simulation, Strategy",$7.99
Police Quest: SWAT 2,Sierra Entertainment,0.40m,30th Jun 98,"Simulation, Strategy",$5.99
MDK,Playmates,0.40m,05th May 97,Action,$9.99
X-COM: UFO Defense,Microprose,0.40m,01st Mar 94,Strategy,$0.49
Gray Zone Warfare,MADFINGER Games,0.40m,30th Apr 24,"Action, Adventure, Early Access + 1",$22.04
Trine 3: The Artifacts of Power,Frozenbyte,0.39m,20th Aug 15,"Action, Adventure, Indie",$3.02
"Cook, Serve, Delicious!",Vertigo Gaming Inc.,0.38m,08th Oct 13,"Action, Indie, Simulation + 1",$0.73
Rebel Galaxy,Double Damage Games,0.38m,01st Jan 16,"Action, Adventure, Indie + 2",$1.17
Cogs,Lazy 8 Studios,0.38m,14th Apr 09,"Casual, Indie",$1.69
Mountain,Double Fine Productions,0.38m,01st Jul 14,"Casual, Indie, RPG + 1",$0.79
Revolution Ace,Unknown,0.37m,01st Apr 14,"Action, Adventure, Indie",$0.78
AI War: Fleet Command,"Arcen Games, LLC",0.37m,22nd Oct 09,"Indie, Strategy",$0.60
Long Live The Queen,Fabio Ricci,0.37m,08th Nov 13,"Indie, RPG, Simulation + 1",$3.04
Clustertruck,TinyBuild Games,0.37m,27th Sep 16,"Action, Indie",$1.83
The Last of Us Part I,PlayStation PC,0.37m,28th Mar 23,"Action, Adventure",$30.39
Grey Goo,Grey Box,0.36m,23rd Jan 15,Strategy,$2.92
War for the Overworld,Unknown,0.36m,02nd Apr 15,"Indie, Simulation, Strategy",$5.99
Cossacks 3,GSC Game World,0.36m,20th Sep 16,"Action, Adventure, Strategy",$3.34
Atelier Ryza 2: Lost Legends & the Secret Fairy,Koei Tecmo,0.36m,26th Jan 21,RPG,$31.60
Slender: The Arrival,Polytron Corporation,0.35m,26th Mar 13,"Action, Adventure, Indie",$9.99
Halo: Spartan Assault,Microsoft Studios,0.35m,18th Jul 13,Action,$2.99
Toki Tori,Two Tribes,0.35m,29th Jan 10,"Casual, Indie",$1.30
Titan Souls,Devolver Digital,0.35m,14th Apr 15,"Action, Adventure, Indie",$1.36
Star Trek: Starfleet Academy,Interplay Productions,0.35m,12th Sep 97,"Action, Adventure, Simulation",$9.99
Frostpunk 2,11 bit studios,0.35m,20th Sep 24,"Simulation, Strategy",$21.36
King Arthur's Gold,Transhuman Design,0.35m,05th Nov 13,"Action, Indie",Free
Nioh: Complete Edition,Koei Tecmo,0.35m,07th Nov 17,"Action, RPG",$8.43
Costume Quest,Unknown,0.34m,14th Oct 11,"Adventure, Casual, RPG",$0.99
DETOUR,Unknown,0.34m,16th May 11,"Indie, Strategy",$1.99
Revenge of the Titans,Puppy Games,0.34m,01st Jan 10,"Action, Indie, Strategy",$11.01
Solar 2,Unknown,0.34m,17th Jun 11,"Action, Adventure, Casual + 2",$1.73
Transport Fever,Astragon,0.34m,08th Nov 16,Simulation,$3.00
Botanicula,Amanita Design,0.33m,27th Apr 12,"Adventure, Casual, Indie",$2.43
Grow Home,Ubisoft,0.33m,04th Feb 15,"Adventure, Casual, Indie",$1.99
Data Hacker: Reboot,New Reality Games,0.33m,13th Feb 15,"Adventure, Indie, RPG",$0.99
And Yet It Moves,Broken Rules,0.32m,02nd Apr 09,"Action, Indie",$0.94
God Mode,Atlus,0.32m,01st Jan 14,Action,$1.99
Battlefleet Gothic: Armada,Koch Media,0.32m,21st Apr 16,Strategy,$1.94
The Bridge,Unknown,0.32m,22nd Feb 13,"Adventure, Casual, Indie + 1",$1.35
Zeno Clash,Tripwire Interactive,0.32m,09th Oct 09,"Action, Indie",$1.76
The Jackbox Party Pack 3,Jackbox Games,0.32m,18th Oct 16,"Casual, Indie, Strategy",$8.63
Fuse,Electronic Arts,0.32m,07th May 13,06 Nov 2013,Free
Atom Zombie Smasher,Unknown,0.32m,14th Mar 11,"Indie, Strategy",$5.00
LUFTRAUSERS,Vlambeer,0.31m,18th Mar 14,"Action, Indie, Simulation",$1.28
Might & Magic: Clash of Heroes,Ubisoft,0.31m,22nd Sep 11,"RPG, Strategy",$7.98
The Jackbox Party Pack,Jackbox Games,0.31m,26th Nov 14,"Casual, Indie, Strategy",$2.88
Her Story,Sam Barlow,0.31m,24th Jun 15,"Adventure, Casual, Indie + 1",$0.99
Agony,PlayWay,0.31m,29th May 18,"Action, Adventure, Indie",$2.06
The Dig,LucasArts,0.30m,01st Jan 95,Adventure,$0.98
Jagged Alliance 2,TalonSoft,0.30m,30th Jun 99,Strategy,$1.99
.hack//G.U. Last Recode,Bandai Namco Entertainment,0.30m,03rd Nov 17,RPG,$2.75
Agents of Mayhem,Deep Silver,0.30m,15th Aug 17,Action,$1.45
Dreamfall: The Longest Journey,Aspyr,0.30m,17th Apr 06,"Adventure, RPG",$4.18
Atlantis: The Lost Tales,Interplay Productions,0.30m,30th Sep 97,Adventure,$1.43
Stonekeep,Interplay Productions,0.30m,08th Nov 95,"Action, Adventure, RPG",$7.99
Putt-Putt Joins the Parade,Humongous Entertainment,0.30m,06th Nov 92,"Adventure, Casual",$1.42
Slime Rancher 2,Monomi Park,0.30m,22nd Sep 22,"Action, Adventure, Casual + 3",$10.80
Atelier Ryza 3: Alchemist of the End & the Secret Key,Koei Tecmo,0.30m,24th Mar 23,"Adventure, Casual, RPG + 1",$31.36
The Jackbox Party Pack 2,Jackbox Games,0.30m,13th Oct 15,"Casual, Indie, Strategy",$8.59
Pit People,The Behemoth,0.30m,02nd Mar 18,"Action, Indie, RPG + 1",$19.99
Monkey Island 2 Special Edition: LeChuck's Revenge,LucasArts,0.29m,07th Jul 10,Adventure,$0.88
Aragami,Lince Works,0.29m,04th Oct 16,"Action, Adventure, Indie",$3.99
Rivals of Aether,Unknown,0.29m,01st Jan 16,Indie,$5.69
Hatoful Boyfriend,Devolver Digital,0.28m,04th Sep 14,"Casual, Indie, Simulation",$4.16
Persona 4 Arena Ultimax,Atlus,0.28m,28th Nov 13,Action,$8.19
Castle Story,Zono Incorporated,0.28m,31st Dec 20,"Indie, Simulation, Strategy",$9.99
Game of Thrones,Atlus,0.27m,15th May 12,"Action, RPG",$14.99
The Cave,Sega,0.27m,23rd Jan 13,Adventure,$14.99
Condemned: Criminal Origins,Sega,0.27m,16th Nov 05,Action,$1.14
Orbital Gear,Night Node Software,0.27m,07th Aug 14,"Action, Indie, Simulation",Free
BIT.TRIP BEAT,Gaijin Entertainment,0.27m,02nd Nov 10,"Action, Casual, Indie",$4.87
Divinity: Dragon Commander,Larian Studios,0.27m,06th Aug 13,"Action, RPG, Strategy",$14.68
Battle Royale Trainer,Trickjump Games Ltd,0.26m,04th Jan 18,"Action, Adventure, Simulation",$5.99
Greyfox RPG,EQ Games,0.26m,24th Feb 15,"Adventure, Indie, RPG",$0.83
The Four Kings Casino and Slots,Digital Leisure Inc.,0.26m,01st Jun 15,"Casual, Massively Multiplayer, Simulation",Free
PixARK,Snail Games USA,0.26m,27th Mar 18,"Action, Adventure, Casual + 3",$19.99
Pool Nation,Cherry Pop Games,0.26m,18th Oct 13,"Casual, Indie, Simulation + 2",$1.63
Shatter,Sidhe Interactive,0.26m,15th Mar 10,"Action, Indie",$0.35
The Incredible Adventures of Van Helsing II,Neocore Games,0.25m,22nd May 14,"Action, Adventure, Indie + 1",$1.02
The Legend of Heroes: Trails in the Sky,Xseed Games,0.25m,29th Jul 14,RPG,$4.89
Blood Bowl: Chaos Edition,Focus Home Interactive,0.25m,11th Oct 12,"Sports, Strategy",$1.19
Grand Pigeon's Duty,WolfgangIs,0.25m,05th Aug 16,"Action, Adventure, Casual + 4",$0.25
Eye of the Beholder,Strategic Simulations,0.25m,01st Jan 91,"Adventure, Casual, Indie",Free
Deadfall Adventures,THQ Nordic,0.25m,15th Nov 13,"Action, Adventure",$1.36
Owlboy,D-Pad Studio,0.25m,01st Nov 16,"Action, Adventure, Indie",$4.10
Song of the Deep,GameTrust,0.25m,12th Jul 16,Adventure,$7.94
Azure Striker Gunvolt,Inti Creates,0.25m,29th Aug 14,"Action, Indie",$14.99
Toukiden 2,Koei Tecmo,0.25m,21st Mar 17,Action,$25.24
Crusader: No Remorse,Electronic Arts,0.25m,31st Aug 95,Action,$1.49
Battle Chess,Interplay Productions,0.25m,01st Jan 88,Strategy,$9.99
Touhou Luna Nights,Playism,0.25m,20th Aug 18,"Action, Adventure, Indie",$12.68
Evolution,Sydney Development Corporation,0.25m,01st Jan 82,Casual,$3.99
Wolfenstein 3D,"Apogee Software, Ltd.",0.25m,05th May 92,Action,$1.09
Age of Wonders 4,Paradox Interactive,0.25m,02nd May 23,Strategy,$30.87
Sea of Stars,Sabotage Studio,0.25m,29th Aug 23,"Adventure, Indie, RPG",$14.68
Streamline,Proletariat Inc.,0.25m,30th Sep 16,"Action, Casual, Indie + 1",$2.99
Chaos on Deponia,Daedalic Entertainment,0.25m,06th Nov 12,"Adventure, Indie",$0.92
RUSH,Two Tribes,0.25m,03rd Dec 10,"Action, Racing, Simulation + 1",$9.99
Stacking,Double Fine Productions,0.25m,06th Mar 12,"Adventure, Indie",$0.60
Bridge Constructor,Headup Games,0.25m,16th Oct 13,"Casual, Indie, Simulation",$0.51
The Basement Collection,Edmund McMillen,0.25m,31st Aug 12,"Adventure, Indie, Strategy",$1.87
Capsized,Unknown,0.25m,29th Apr 11,"Action, Indie",$1.45
Detention,Coconut Island Games,0.24m,12th Jan 17,"Adventure, Indie",$4.90
Reset 1-1,New Reality Games,0.24m,30th Aug 16,Indie,$0.99
Ziggurat,Milkstone Studios,0.24m,23rd Oct 14,"Action, Indie, RPG",$1.00
Iron Sky: Invasion,TopWare Interactive,0.24m,14th Dec 12,"Action, Simulation, Strategy",$0.79
Crawl,Powerhoof Pty Ltd,0.24m,11th Apr 17,"Action, Indie, RPG",$2.99
Hatred,Destructive Creations,0.24m,01st Jun 15,"Action, Indie",$1.24
Shelter 2,Might and Delight,0.24m,09th Mar 15,"Adventure, Casual, Indie",$1.84
Jazzpunk: Director's Cut,Necrophone Games,0.24m,07th Feb 14,"Adventure, Indie",$1.99
Jet Racing Extreme: The First Encounter,Real Dynamics,0.24m,14th Jul 15,"Action, Indie, Racing + 2",$0.57
Cities in Motion,Paradox Interactive,0.24m,22nd Feb 11,Simulation,$0.35
Lichdom: Battlemage,Unknown,0.23m,26th Aug 14,"Action, Indie, RPG",$2.30
Evoland 2,Shiro Games,0.23m,25th Aug 15,"Action, Adventure, Indie + 1",$3.31
Train Fever,Good Shepherd Entertainment,0.23m,04th Sep 14,"Casual, Indie, Simulation",$1.94
Contraption Maker,Unknown,0.23m,07th Jul 14,"Casual, Indie, Simulation",$1.71
"Please, Don't Touch Anything",Plug In Digital,0.23m,26th Mar 15,"Casual, Indie",$3.95
Scribblenauts Unmasked: A DC Comics Adventure,Warner Bros. Interactive Entertainment,0.23m,24th Sep 13,"Action, Adventure, Casual + 1",$0.55
Gas Guzzlers Extreme,Iceberg Interactive,0.23m,08th Oct 13,"Action, Racing, Sports",$1.97
Lovers in a Dangerous Spacetime,Asteroid Base,0.22m,31st Dec 20,"Action, Indie, Simulation",$14.99
NightSky,Unknown,0.22m,06th Jan 11,"Casual, Indie, Strategy",$0.65
Edna & Harvey: Harvey's New Eyes,Rondomedia,0.22m,26th Aug 11,"Adventure, Indie",$0.89
Edge of Space,Unknown,0.22m,28th Jun 13,"Action, Adventure, Indie + 1",$1.23
Chroma Squad,Behold Studios,0.22m,30th Apr 15,"Indie, RPG, Strategy",$0.98
Night in the Woods,Unknown,0.22m,21st Feb 17,Adventure,$9.40
Quantum Conundrum,Square Enix,0.22m,21st Jun 12,"Casual, Strategy",$1.69
TowerFall Ascension,Matt Makes Games Inc.,0.21m,11th Mar 14,"Action, Indie",$0.85
Blocks That Matter,Unknown,0.21m,20th Aug 11,"Adventure, Casual, Indie + 1",$3.80
Ultimate General: Gettysburg,Game-Labs,0.21m,16th Oct 14,"Indie, Simulation, Strategy",$7.00
Always Sometimes Monsters,Devolver Digital,0.21m,21st May 14,"Indie, RPG",$1.03
Ampu-Tea,Kiss,0.21m,30th May 14,"Adventure, Casual, Indie + 2",$1.54
Pillars of Eternity II: Deadfire,Versus Evil,0.20m,31st Dec 18,RPG,$19.43
Volgarr the Viking,Adult Swim,0.20m,13th Sep 13,"Action, Adventure, Indie",$1.99
Job Simulator,Owlchemy Labs,0.20m,05th Apr 16,"Action, Casual, Indie + 1",$19.99
Port Royale 3,Kalypso Media,0.20m,02nd Oct 12,"Action, Simulation, Strategy",$0.85
Dwarfs!?,Tripwire Interactive,0.20m,04th May 11,"Casual, Indie, Strategy",$0.84
Divekick,Namco Networks America Inc.,0.20m,20th Aug 13,"Action, Indie",$1.45
Worms Armageddon,Microprose,0.20m,30th Nov 99,Strategy,$1.56
Worms 2,Microprose,0.20m,31st Dec 97,Strategy,$2.26
Outpost,Sierra Online,0.20m,01st Jan 94,Casual,$1.83
Wizardry: Proving Grounds of the Mad Overlord,Sirtech,0.20m,01st Sep 81,"Action, RPG",$12.21
Torin's Passage,Sierra Online,0.20m,31st Oct 95,Adventure,$5.99
Atelier Sophie 2: The Alchemist of the Mysterious Dream,Koei Tecmo,0.20m,25th Feb 22,RPG,$24.94
Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island,Spike Chunsoft,0.20m,27th Feb 24,RPG,$39.99
Pseudoregalia,rittzler,0.20m,28th Jul 23,"Action, Adventure, Indie",$4.69
Ale & Tale Tavern,GrabTheGames|UpgradePoint,0.20m,05th Sep 24,"Action, Adventure, Casual + 2",$13.25
Alien Breed: Impact,Team17 Software,0.20m,03rd Jun 10,Action,$0.77
Space Pilgrim Episode I: Alpha Centauri,GrabTheGames,0.20m,21st Dec 15,"Adventure, Indie",Free
Full Mojo Rampage,Over The Top Games,0.20m,08th May 14,"Action, Indie, RPG",$2.00
Sid Meier's Starships,2K Games,0.20m,12th Mar 15,Strategy,$0.55
La-Mulana,GR3 Project,0.19m,27th May 05,"Action, Adventure, Indie",$11.09
Primal Carnage: Extinction,Pub Games,0.19m,03rd Apr 15,"Action, Indie",$2.67
Closure,Glaiel Games,0.19m,01st Jan 09,Indie,$1.26
Mars: War Logs,Focus Home Interactive,0.19m,26th Aug 13,"Action, RPG",$0.82
Infested Planet,Zoo Games silver,0.19m,06th Mar 14,"Action, Indie, Strategy",$2.29
The Dark Eye: Chains of Satinav,Daedalic Entertainment,0.19m,22nd Jun 12,"Adventure, Indie",$0.97
The Ball,Tripwire Interactive,0.19m,18th Jan 11,"Action, Adventure, Indie + 1",$0.94
Hydrophobia: Prophecy,Dark Energy Digital,0.19m,09th May 11,"Action, Adventure, Indie + 1",$4.24
Fran Bow,Killmonday Games,0.19m,27th Aug 15,"Adventure, Indie",$14.99
Sacred 3,Deep Silver,0.18m,29th Jul 14,"Action, RPG",$1.07
Contrast,Focus Home Interactive,0.18m,15th Nov 13,"Adventure, Indie",$9.99
Peggle Nights,PopCap Games,0.18m,16th Sep 08,Casual,$4.99
Deus Ex: The Fall,Square Enix,0.18m,25th Mar 14,"Action, Adventure, RPG",$1.98
Space Run,Focus Home Interactive,0.18m,01st Jul 14,"Indie, Strategy",$1.24
Lovely Planet,TinyBuild Games,0.18m,31st Jul 14,"Action, Indie",$0.70
RollerCoaster Tycoon World,Atari,0.18m,30th Mar 16,"Simulation, Strategy",$1.29
Multiwinia,Independent,0.18m,19th Sep 08,Indie,$1.99
Bomber Crew,Curve Digital,0.18m,19th Oct 17,"Simulation, Strategy",$1.13
Sanctum,Coffee Stain Publishing,0.18m,15th Apr 11,"Action, Casual, Indie + 1",$1.62
Romance of the Three Kingdoms XIII,Koei Tecmo,0.18m,28th Jan 16,Simulation,$24.00
Krater,Unknown,0.18m,12th Jun 12,"Action, Adventure, Indie + 2",$0.78
Enemy Front,City Interactive,0.18m,10th Jun 14,Action,$1.64
Yu-Gi-Oh! Legacy of the Duelist,Konami,0.18m,16th Dec 16,Simulation,$2.83
DogFighter,Unknown,0.18m,14th Jun 10,"Action, Indie",$0.35
Tales of Maj'Eyal,DarkGod,0.18m,12th Dec 13,"Adventure, Indie, RPG",$2.25
Gish,GarageGames,0.18m,17th Sep 04,"Action, Adventure, Indie",$2.85
Going Medieval,The Irregular Corporation,0.18m,01st Jun 21,"Early Access, Indie, RPG + 2",$12.86
Might & Magic Heroes VII,Ubisoft,0.17m,29th Sep 15,"RPG, Strategy",$6.28
Medieval II: Total War Kingdoms,Sega,0.17m,28th Aug 07,Strategy,$6.60
Axiom Verge,Thomas Happ Games,0.17m,14th May 15,"Action, Adventure, Indie",$2.99
Apotheon,AlienTrap Games,0.17m,01st Jul 13,"Action, Adventure, Indie + 1",$2.99
Darkwood,Acid Wizard Studio,0.17m,24th Jul 14,"Action, Adventure, Indie + 1",$9.14
System Shock,Origin Systems,0.17m,01st Jan 94,"Action, Adventure",$6.56
Atelier Sophie: The Alchemist of the Mysterious Book,Koei Tecmo,0.17m,19th Nov 15,RPG,$29.99
Shattered Steel,Interplay Productions,0.17m,01st Oct 96,"Action, Simulation",$9.99
Freedom Planet,Galaxy Trail,0.17m,21st Jul 14,"Action, Indie",$3.48
Distance,Refract Studios,0.17m,31st Dec 20,"Action, Indie, Racing",$3.73
Disgaea PC,NIS America,0.17m,24th Feb 16,RPG,$3.92
Goodbye Deponia,Daedalic Entertainment,0.17m,17th Oct 13,"Adventure, Indie",$1.04
Serious Sam Classics: Revolution,Devolver Digital,0.17m,30th Apr 14,"Action, Indie",$1.86
Greed Corp,W!Games,0.17m,10th Dec 10,Strategy,$2.71
Secret of the Silver Blades,Strategic Simulations,0.17m,01st Jan 90,RPG,$4.99
Valdis Story: Abyssal City,Endless Fluff Games,0.16m,08th Sep 13,"Action, Indie, RPG",$8.03
Aquaria,Bit Blot,0.16m,07th Dec 07,Indie,$3.91
12 Labours of Hercules,Jetdogs Studios,0.16m,23rd Mar 15,"Casual, Strategy",$1.32
Bunch of Heroes,Unknown,0.16m,21st Sep 11,"Action, Indie",$2.31
Sid Meier's Ace Patrol,2K Games,0.16m,27th Aug 13,"Casual, Strategy",$0.55
SUPERHOT VR,SUPERHOT Team,0.16m,25th May 17,"Action, Indie",$6.37
Pixel Puzzles 2: Anime,DL Softworks,0.16m,27th Mar 15,"Action, Casual, Indie + 2",$0.60
Mother Russia Bleeds,Bandai Visual,0.16m,01st Jan 16,"Action, Indie",$2.37
Alien Breed 2: Assault,Team17 Software,0.16m,22nd Sep 10,Action,$0.96
Wings of Prey,YuPlay,0.16m,25th Dec 10,Simulation,$3.99
Melody's Escape,Unknown,0.16m,26th Feb 14,Indie,$9.99
Holy Potatoes! A Weapon Shop?!,Daedalic Entertainment,0.15m,13th Jul 15,"Indie, Simulation",$0.39
The Banner Saga 2,Versus Evil,0.15m,19th Apr 16,"Indie, RPG, Strategy",$2.44
Space Pilgrim Episode II: Epsilon Indi,GrabTheGames,0.15m,08th Jan 16,"Adventure, Indie",$0.42
Rogue Port - Red Nightmare,Sunight Games,0.15m,07th May 16,"Adventure, Indie, RPG",$0.51
Bus Simulator 16,Astragon,0.15m,24th May 17,Simulation,$1.45
The Fall,Over The Moon,0.15m,30th May 14,"Action, Adventure, Indie",$1.10
Vessel,indiePub,0.15m,01st Mar 12,"Action, Indie, Strategy",$0.69
Nights of Azure,Koei Tecmo,0.15m,29th Mar 16,RPG,$23.64
Labyrinth of Refrain: Coven of Dusk,Nippon Ichi Software,0.15m,18th Sep 18,"RPG, Strategy",$8.64
M.A.X.: Mechanized Assault & Exploration,Interplay Productions,0.15m,01st Jan 96,"Action, Strategy",$9.99
Chip,Kiss,0.15m,25th Apr 14,"Action, Indie, Strategy",$0.49
Plain Sight,Beatnik Games,0.15m,22nd Mar 10,"Action, Indie",$4.95
Reassembly,Indie Voyage,0.15m,19th Feb 15,"Action, Indie, Strategy",$6.55
Toki Tori 2+,Two Tribes,0.15m,26th Feb 16,"Adventure, Casual, Indie",$1.86
Anomaly 2,11 bit studios,0.15m,15th May 13,"Action, Indie, Strategy",$0.90
Battle Chasers: Nightwar,THQ Nordic,0.15m,03rd Oct 17,"Indie, RPG",$3.21
We Happy Few,Gearbox Software,0.15m,10th Aug 18,"Action, Adventure, Indie",$17.47
Secret of the Magic Crystals,ArtwareGames,0.15m,03rd Jan 10,"Casual, Indie",$1.78
Sherlock Holmes: The Devil's Daughter,Bigben Interactive,0.14m,25th Oct 16,"Action, Adventure",$4.34
Styx: Shards of Darkness,Focus Home Interactive,0.14m,14th Mar 17,"Action, Adventure",$2.39
Terrorhedron Tower Defense,Dan Walters,0.14m,25th Jul 14,"Casual, Indie, Strategy",$1.99
Ys I & II Chronicles+,Xseed Games,0.14m,14th Feb 13,"Action, Adventure, RPG",$3.67
The Solus Project,Teotl Studios,0.14m,07th Jun 16,"Adventure, Indie, Simulation",$19.99
Spycraft: The Great Game,Activision,0.14m,29th Feb 96,Adventure,$5.99
Sun Blast: Star Fighter,EQ Games,0.14m,03rd Apr 15,"Action, Adventure, Indie",$1.99
Savant - Ascent,D-Pad Studio,0.14m,04th Dec 13,"Action, Indie",$1.07
Soul Gambler,Gamestorming,0.14m,10th Jul 14,"Adventure, Indie, RPG",$0.82
Battle Brothers,Overhype Studios,0.14m,24th Mar 17,"Indie, RPG, Strategy",$13.73
Winter Novel,DeXP,0.14m,10th Aug 16,"Casual, Indie, Simulation",$3.98
Force of Nature,A.Y.std,0.14m,13th Dec 16,"Action, Adventure, Indie + 3",$7.99
Joe Danger 2: The Movie,Hello Games,0.14m,24th Jun 13,"Action, Casual, Indie + 1",$0.79
Space Pilgrim Episode IV: Sol,GrabTheGames,0.14m,04th Mar 16,"Adventure, Indie",$0.60
The Silent Age,Meridian4,0.14m,29th May 15,"Adventure, Casual, Indie",$2.53
Fahrenheit: Indigo Prophecy Remastered,Aspyr,0.14m,29th Jan 15,"Adventure, RPG",$1.23
Edna & Harvey: The Breakout,Daedalic Entertainment,0.14m,25th Oct 13,"Adventure, Indie",$2.24
Sine Mora,HandyGames,0.14m,09th Nov 12,"Action, Indie",$2.84
Tower of Guns,Terrible Posture Games LLC,0.14m,04th Mar 14,"Action, Indie",$1.14
Angry Video Game Nerd Adventures,Screenwave Media,0.14m,20th Sep 13,"Action, Adventure, Indie",$1.98
140,Carlsen Games,0.14m,16th Oct 13,"Action, Indie",$0.99
Cat Goes Fishing,Unknown,0.14m,20th Jan 15,"Casual, Indie, Simulation",$6.99
Shantae and the Pirate's Curse,WayForward,0.14m,23rd Apr 15,"Action, Adventure, Indie + 1",$1.77
Absolute Drift,Funselektor Labs Inc.,0.14m,29th Jul 15,"Action, Casual, Indie + 3",$1.98
Teslagrad,Rain Games,0.14m,15th Sep 15,Indie,$1.24
Vertiginous Golf,Fellow Traveller,0.14m,07th Mar 14,"Indie, Sports",$0.58
Battlepaths,Digerati Distribution,0.14m,28th Oct 12,RPG,$0.97
"Warhammer 40,000: Inquisitor - Martyr",NeocoreGames,0.14m,05th Jun 18,"Action, Adventure, Indie + 1",$6.15
The Mercury Man,Mehsoft,0.13m,20th May 18,"Action, Adventure, Casual + 1",$3.99
Fallout 4 VR,Bethesda Softworks,0.13m,11th Dec 17,RPG,$10.40
Strike Suit Infinity,Born Ready Games,0.13m,30th Apr 13,"Action, Indie",$5.11
Deadly 30,Headup Games,0.13m,08th Jan 14,"Action, Indie",$0.48
Worms Crazy Golf,Team17 Software,0.13m,19th Oct 11,"Sports, Strategy",$1.17
"10,000,000",EightyEightGames,0.13m,15th Jan 13,"Action, Casual, Indie + 1",$4.29
bit Dungeon II,Kinto Games LLC,0.13m,15th Dec 14,"Action, Adventure, Indie + 1",$1.38
Draw a Stickman: EPIC,Hitcents,0.13m,03rd Dec 13,"Adventure, Casual, Indie",$1.19
Reversion - The Escape (1st Chapter),3f Interactive,0.13m,21st Mar 12,"Adventure, Casual, Indie",$0.72
Haydee,Haydee Interactive,0.13m,26th Sep 16,"Action, Indie",$14.99
Hyperdimension Neptunia Re;Birth2: Sisters Generation,Idea Factory,0.13m,29th May 15,"RPG, Strategy",$1.35
Final Exam,Focus Home Interactive,0.13m,05th Nov 13,"Action, Indie",$0.83
Go! Go! Nippon! ~My First Trip to Japan~,MangaGamer,0.13m,21st Feb 14,Adventure,$1.16
Men of War: Vietnam,1C Company,0.13m,08th Sep 11,Strategy,$0.75
Gemini Rue,Wadjet Eye Games,0.13m,24th Feb 11,"Adventure, Indie",$2.54
A Valley Without Wind,"Arcen Games, LLC",0.13m,24th Apr 12,"Action, Adventure, Indie",$0.39
Colony Survival,Pipliz,0.13m,16th Jun 17,"Action, Adventure, Early Access + 2",$24.95
Little King's Story,Xseed Games,0.13m,21st Jul 09,"RPG, Simulation, Strategy",$4.49
Dinosaur Hunt,ANPA.US,0.13m,17th Sep 15,"Action, Adventure, Indie + 1",$0.99
"Warhammer 40,000: Regicide",Hammerfall Publishing,0.13m,08th Sep 15,"Action, Indie, Strategy",$87.15
"Linea, the Game",KHB-Soft,0.13m,04th Jan 16,"Action, Casual, Indie",$1.69
Obduction,Cyan Worlds,0.13m,24th Aug 16,"Adventure, Indie",$5.84
Dungreed,TEAM HORAY,0.13m,15th Feb 18,"Action, Indie",$9.00
Runestone Keeper,Blackfire Games,0.13m,23rd Mar 15,"Casual, Indie, RPG + 1",$0.44
Cataegis : The White Wind,Kiss,0.13m,25th Sep 15,"Action, Indie",$1.42
Hero of the Kingdom,Lonely Troops,0.13m,20th Dec 12,"Adventure, Casual, Indie + 1",$0.42
Spaceport Hope,team BitClub,0.13m,16th Apr 16,"Action, Adventure, Indie",$1.99
Ikaruga,Treasure,0.13m,18th Feb 14,"Action, Indie",$9.99
Dungeons 3,Kalypso Media,0.13m,13th Oct 17,"Simulation, Strategy",$2.20
The Turing Test,Square Enix,0.13m,30th Aug 16,Adventure,$4.11
The Misadventures of P.B. Winterbottom,2K Games,0.13m,20th Apr 10,"Adventure, Indie",$3.52
Startup Company,Hovgaard Games,0.13m,11th Aug 17,"Casual, Indie, Simulation + 1",$11.04
